sku,name,upc,msrp,salePrice,categoryNode,categoryPath,thumbnailImage,numsearches,added
47389619,"Snapper 60V String Trimmer, 2Ah Battery and Charger Included ST60V",841821020019,-1,174,5428_1102182_2953136,"Patio & Garden/Outdoor Power Equipment/Trimmers and Edgers/All Trimmers and Edgers",https://i5.walmartimages.com/asr/60903cbb-f283-4571-a57b-50875b1fee8d_1.33dfd061715942f44b3fb69720908eca.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,2,
49239273,"Select by Calphalon Ceramic Nonstick 10-piece Cookware Set",16853065103,-1,119,4044_623679_133020,"Home/Kitchen & Dining/Cookware & Tools/Cookware Sets",https://i5.walmartimages.com/asr/bb4838c6-713a-4138-950e-52677d11c701_1.ca60c9260d156cf35a4ca0669a643cc8.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
271070570,"Keurig 525 Brewer Aluminum",611247369456,-1,169.99,4044_90548_90546,"Home/Appliances/Kitchen Appliances/Coffee & Espresso Makers/Coffee Makers",https://i5.walmartimages.com/asr/621a6322-a54f-41d9-b099-0665dfffc169_1.a9d231a8011f6dac5a5a8f8b131a4388.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
168681073,"Mainstays Turbo Convection Oven",655772015198,-1,34.94,4044_623679_133020,"Home/Kitchen & Dining/Cookware & Tools/Dutch Ovens & Roasters",https://i5.walmartimages.com/asr/d2c4b1bc-73f5-48a6-9156-623286bdd6b9_1.ace2caff73ab4074e31fd065f27c9158.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,1,
50011641,"The Pioneer Woman Copper Charm 10-Piece Stainless Steel Copper Bottom Cookware Set",85081299888,-1,129,4044_623679_133020,"Home/Kitchen & Dining/Cookware & Tools/Cookware Sets",https://i5.walmartimages.com/asr/de135eea-2979-4008-96fc-60b9e1e8b82b_1.40056ec1e1371a22c39ad6d0b6200b93.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
117832231,"Cambridge Silversmiths Emmeline Mirror 51-Piece Flatware Set",719978805516,-1,35.88,4044_623679_639999,"Home/Kitchen & Dining/Dining & Entertaining/Flatware/Flatware Sets",https://i5.walmartimages.com/asr/105f54de-3a02-4242-a69b-751992658bfe_1.f7178c0def1be93b92fde10685a949ad.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
54371854,"The Pioneer Woman Flea Market 8-Piece Glass Bake and Store Decorated Set",85081361820,-1,17.88,4044_623679_8455465,"Home/Kitchen & Dining/Bakeware/Bakeware Sets",https://i5.walmartimages.com/asr/970cc6b1-29d4-4650-95cf-2518ec63be52_1.77f090baacf8703c737d8fa43c40084e.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
51800326,"BLACK+DECKER 14-Cup Rice Cooker and Steamer Basket, RC514",50875815698,-1,15,4044_90548_90546,"Home/Appliances/Kitchen Appliances/Rice Cookers & Steamers",https://i5.walmartimages.com/asr/ed191d52-669d-44d4-8d5e-07f58114b06d_1.f2b4879fba41fe3d4136bf18ce423261.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
141019202,"As Seen on TV Red Copper Square Pan, 10 inches",97298028045,-1,38.99,4044_623679_133020,"Home/Kitchen & Dining/Cookware & Tools/Pans",https://i5.walmartimages.com/asr/d7e62f6f-6212-440e-9b38-62e77d589a0d_1.a071cb8951824717c3e9155002a5d1eb.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
46859147,"The Pioneer Woman Paige 12-Piece Crackle Glaze Dinnerware Set, Red",85081055033,-1,44.92,4044_623679_639999,"Home/Kitchen & Dining/Dining & Entertaining/Dinnerware Sets",https://i5.walmartimages.com/asr/4b6f1199-9be8-44f6-b475-6e187c39cbf0_1.fe8aa6d7cf1771282a05362c31211bc5.jpeg?odnHeight=100&odnWidth=100&odnBg=FFFFFF,0,
