upc,store,qty,price,name,datetime
662248916354,302,3,12.88,XB1 DEX MNKDIV DAY1,2018-02-19 01:46:42.418241
662248916354,224,12,12.88,XB1 DEX MNKDIV DAY1,2018-02-19 01:46:42.418620
662248916354,222,0,12.88,XB1 DEX MNKDIV DAY1,2018-02-19 01:46:42.418724
85081055033,262,2,44.92,PW PAIGE 12 PC RED,2018-02-19 01:46:42.420376
85081055033,237,0,35,PW PAIGE 12 PC RED,2018-02-19 01:46:42.420601
85081055033,122,0,35,PW PAIGE 12 PC RED,2018-02-19 01:46:42.420834
85081055033,188,0,35,PW PAIGE 12 PC RED,2018-02-19 01:46:42.420909
85081361820,196,1,21,PW 8 PC BAKE N STORE,2018-02-19 01:46:42.486828
85081361820,237,0,21,PW 8 PC BAKE N STORE,2018-02-19 01:46:42.486936
85081361820,224,0,21,PW 8 PC BAKE N STORE,2018-02-19 01:46:42.487046
85081361820,122,2,21,PW 8 PC BAKE N STORE,2018-02-19 01:46:42.487166
85081361820,188,-1,21,PW 8 PC BAKE N STORE,2018-02-19 01:46:42.487291
719978805516,596,1,30,EMMELINE 51PC,2018-02-19 01:46:42.488329
719978805516,216,3,35.88,EMMELINE 51PC,2018-02-19 01:46:42.488416
719978805516,196,6,30,EMMELINE 51PC,2018-02-19 01:46:42.488567
719978805516,262,0,30,EMMELINE 51PC,2018-02-19 01:46:42.488724
719978805516,302,4,30,EMMELINE 51PC,2018-02-19 01:46:42.488872
719978805516,237,5,30,EMMELINE 51PC,2018-02-19 01:46:42.489010
719978805516,224,3,30,EMMELINE 51PC,2018-02-19 01:46:42.489160
719978805516,222,4,30,EMMELINE 51PC,2018-02-19 01:46:42.489303
719978805516,188,2,30,EMMELINE 51PC,2018-02-19 01:46:42.489438
719978805516,82,3,30,EMMELINE 51PC,2018-02-19 01:46:42.489580
97298028045,262,2,30,RED COPPER 5PC SET,2018-02-19 01:46:42.490303
97298028045,237,9,30,RED COPPER 5PC SET,2018-02-19 01:46:42.490416
97298028045,224,4,30,RED COPPER 5PC SET,2018-02-19 01:46:42.490547
97298028045,222,2,30,RED COPPER 5PC SET,2018-02-19 01:46:42.490677
97298028045,833,3,30,RED COPPER 5PC SET,2018-02-19 01:46:42.490831
655772015198,302,0,25,MS CONVECTION,2018-02-19 01:46:42.492549
655772015198,122,0,25,MS CONVECTION,2018-02-19 01:46:42.493074
611247369456,216,0,149,KEURIG K525 ALUMINUM,2018-02-19 01:46:42.499353
611247369456,224,0,109,KEURIG K525 ALUMINUM,2018-02-19 01:46:42.500069
841058015154,216,0,13,HYDRO5 REFILL 8CT,2018-02-19 02:01:01.543292
841058015154,224,0,13,HYDRO5 REFILL 8CT,2018-02-19 02:01:01.544033
85081270887,252,0,69,PW 14PC RSWD BLK SET,2018-02-19 02:01:01.546356
85081270887,224,0,69,PW 14PC RSWD BLK SET,2018-02-19 02:01:01.546588
85081270887,833,0,49,PW 14PC RSWD BLK SET,2018-02-19 02:01:01.675619
27045795470,224,0,9,SB FLC ACORN TH KNIT,2018-02-19 02:01:01.680744
805780112482,216,0,70,CONTEMPORARY ARMOIRE,2018-02-19 02:01:01.681660
805780112482,224,0,39,CONTEMPORARY ARMOIRE,2018-02-19 02:01:01.681982
611768096015,596,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.687634
611768096015,252,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.688292
611768096015,237,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.688459
611768096015,352,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.688660
611768096015,122,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.688866
611768096015,188,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.688979
611768096015,82,0,67.82,CF IR 3D ELEC HTR,2018-02-19 02:01:01.689072
46013775122,596,0,79.86,LSKO CYCLONIC HTR,2018-03-08 03:23:24.892797
